"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA020","ACC","195351","2024-10-17T16:00:00Z","Addison","Texas","United States",,"N903SC","NCC-1701","false","Aviation","DirectorBrief","2025-02-21T05:00:00Z","2025-02-21T19:00:00Z","None","0","0","0","0","0","Foreign object debris damage to the ventral stabilizer. The source of the debris could not be determined based on the available information.","Environmental issues - Physical environment - Object/animal/substance - Debris/dirt/foreign object - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Debris/dirt/foreign object - Unknown/Not determined",,"32.969841000000002","-96.835935000000006","Starship","Enterprise","AIR","ADS","Addison Airport","false","2","TP",,"PERS","091","Substantial","VMC",,"Unknown","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195351","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195351/pdf"
"CEN25LA008","ACC","195281","2024-10-08T14:00:00Z","Inguadona","Minnesota","United States",,"N212FB","802A-0368","false","Aviation","DirectorBrief","2025-01-21T05:00:00Z","2025-01-21T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to properly configure the landing gear on the amphibious airplane before a water landing.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect use/operation",,"46.954186999999997","-94.130431999999999","AIR TRACTOR INC","AT-802A","AIR",,,"false","1","TP",,"FIRF","137","Substantial","VMC","AERO SPRAY INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195281","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195281/pdf"
"WPR24LA300","ACC","195086","2024-08-31T14:40:00Z","Mulino","Oregon","United States",,"N902ST","153","false","Aviation","DirectorBrief","2025-03-06T05:00:00Z","2025-03-06T19:00:00Z","None","0","0","0","0",,"The skydiver’s unintentional parachute deployment and subsequent entanglement with the airplane’s horizontal stabilizer.","Aircraft - Aircraft structures - Empennage structure - Horizontal stabilizer - Damaged/degraded, Environmental issues - Physical environment - Object/animal/substance - Person - Effect on equipment",,"45.216555999999997","-122.59019000000001","PACIFIC AEROSPACE CORP LTD","750XL","AIR","4S9","MULINO STATE","false","1","TP",,"SKYD","091","Substantial","VMC","TRUE NORTH AVIATION LLC","Unknown","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195086","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195086/pdf"
"ERA24LA360","ACC","195017","2024-08-26T13:01:00Z","Jesup","Georgia","United States",,"N686AC","BE-127","false","Aviation","DirectorBrief","2024-12-19T05:00:00Z","2024-12-19T18:00:00Z","None","0","0","0","0",,"A hard landing short of the runway threshold, which resulted in a collapse of the left main landing gear and subsequent runway excursion during landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"31.555519","-81.887623000000005","BEECH","B100","AIR","JES","JESUP-WAYNE COUNTY","false","2","TP",,"PERS","091","Substantial","VMC","STM AIR LLC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195017","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195017/pdf"
"ERA24LA354","ACC","194972","2024-08-19T08:58:00Z","Asheboro","North Carolina","United States",,"N600KA","FA-143","false","Aviation","DirectorBrief","2024-11-08T05:00:00Z","2024-11-08T19:00:00Z","None","0","0","0","0",,"The pilot’s failure to extend the landing gear before landing.","Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated",,"35.655068999999997","-79.896499000000006","BEECH","300","AIR","HBI","ASHEBORO RGNL","false","2","TP",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194972","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194972/pdf"
"WPR24LA282","ACC","194957","2024-08-13T11:00:00Z","Durham","California","United States",,"N6633K","400B","false","Aviation","DirectorBrief","2025-03-06T05:00:00Z","2025-03-06T19:00:00Z","Serious","0","1","0","1",,"The pilot’s failure to maintain clearance from powerlines, which resulted in a wire strike.","Personnel issues - Psychological - Attention/monitoring - Attention - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment",,"39.543815000000002","-121.65765","GRUMMAN ACFT ENG COR-SCHWEIZER","G-164B","AIR","OVE","OROVILLE MUNI","false","1","TP",,"AAPL","137","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194957","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194957/pdf"
"CEN24LA314","ACC","194910","2024-08-11T18:17:00Z","Whitewright","Texas","United States",,"N420DZ","208B0909","false","Aviation","DirectorBrief","2024-11-19T05:00:00Z","2024-11-19T19:00:00Z","None","0","0","0","0","0","The pilot’s incomplete flare which resulted a hard, flat landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Incorrect use/operation",,"33.448067000000002","-96.377663999999996","CESSNA","208","AIR","48TX","TRI-COUNTY AERODROME","false","1","TP",,"PERS","091","Substantial","VMC","Skydive Spaceland Dallas","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194910","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194910/pdf"
"CEN24LA261","ACC","194687","2024-07-12T14:00:00Z","Decatur","Illinois","United States",,"N528JC","602-05287","false","Aviation","DirectorBrief","2024-11-08T05:00:00Z","2024-11-08T19:00:00Z","None","0","0","0","0","0","The pilot’s inability to maintain directional control during the landing roll due to the malfunction of the tail wheel locking mechanism.","Aircraft - Aircraft systems - Landing gear system - (general) - Malfunction, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Attain/maintain not possible",,"39.835461000000002","-88.873558000000003","AIR TRACTOR","AT602","AIR","DEC","DECATUR","false","1","TP",,"POSI","137","Substantial","VMC","Farm Air, Inc.","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194687","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194687/pdf"
"CEN24LA257","ACC","194653","2024-07-08T08:50:00Z","Sedgwick","Arkansas","United States",,"N6500K","336B","false","Aviation","DirectorBrief","2024-11-08T05:00:00Z","2024-11-08T19:00:00Z","Minor","0","0","1","1",,"The pilot’s failure to maintain clearance from a power line during the spray pass.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained",,"35.978569999999998","-90.856399999999994","GRUMMAN ACFT ENG COR-SCHWEIZER","G-164B","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC","SCOTT FLYING SERVICE INC","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194653","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194653/pdf"
"CEN24LA255","ACC","194644","2024-07-04T14:30:00Z","Brad","Texas","United States",,"N983LA","802-0983","false","Aviation","DirectorBrief","2024-08-22T04:00:00Z","2024-08-22T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain airplane control after encountering a large boat wake.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Choppy surface - Contributed to outcome",,"32.393360999999999","-98.448921999999996","AIR TRACTOR INC","AT-802","AIR",,,"false","1","TP",,"FIRF","137","Substantial","VMC",,"Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194644","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194644/pdf"
"CEN24LA246","ACC","194585","2024-06-30T10:30:00Z","Helm","Mississippi","United States",,"N9185K","402-0908","false","Aviation","DirectorBrief","2024-10-22T04:00:00Z","2024-10-22T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain control, which resulted in an aerodynamic stall and impact with terrain.","Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Contributed to outcome, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Capability exceeded, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot",,"33.497720000000001","-90.860493000000005","AIR TRACTOR INC","AT-402","AIR","PVT","PVT","false","1","TP",,"AAPL","137","Substantial","VMC","LOVE AERO LLC","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194585","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194585/pdf"
"WPR24LA212","ACC","194548","2024-06-18T10:00:00Z","Lemoore","California","United States",,"C-GJBG","31-7612033","false","Aviation","DirectorBrief","2025-02-12T05:00:00Z","2025-02-12T18:00:00Z","Minor","0","0","2","2","0","The pilot’s improper in-flight decision making which resulted in a total loss of engine power due to fuel exhaustion and a subsequent emergency landing.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level",,"36.364164000000002","-119.96069","PIPER","PA31","AIR","KNLC","Lemoore","false","2","TP",,"AOBV","091","Substantial","VMC",,"Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194548","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194548/pdf"
"CEN24LA229","ACC","194490","2024-06-13T15:55:00Z","White","South Dakota","United States",,"N1746S","1446R","false","Aviation","DirectorBrief","2024-08-22T04:00:00Z","2024-08-22T17:00:00Z","Minor","0","0","1","1","0","A low-level collision and engine ingestion with ducks, which resulted in a total loss of engine power, a forced landing, and a subsequent nose over.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - (general) - Failure, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - (general) - Damaged/degraded, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Contributed to outcome, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"44.515726999999998","-96.736498999999995","AERO COMMANDER","S2R","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC","WILDE AIR SERVICE LLC","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194490","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194490/pdf"
"WPR24LA186","ACC","194431","2024-06-07T17:00:00Z","Richvale","California","United States",,"N6736K","31C","false","Aviation","DirectorBrief","2025-03-06T05:00:00Z","2025-03-06T19:00:00Z","None","0","0","0","0",,"The pilot’s decision to takeoff with a tailwind and their failure to maintain clearance from terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained",,"39.501885999999999","-121.77114","GRUMMAN/SCHWEIZER","G-164D","AIR","07CL","Richvale Airport","false","1","TP",,"AAPL","137","Substantial","VMC","AVAG INC","Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194431","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194431/pdf"
"CEN24LA216","ACC","194437","2024-06-06T13:15:00Z","Perryton","Texas","United States",,"N45123","402-0753","false","Aviation","DirectorBrief","2024-10-22T04:00:00Z","2024-10-22T18:00:00Z","Serious","0","1","0","1","0","The pilot’s exceedance of the airplane’s critical angle of attack during a low-level turn, which resulted in an aerodynamic stall and loss of airplane control at too low of an altitude to recover.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft systems - Fuel system - (general) - Damaged/degraded, Aircraft - Aircraft systems - Fuel system - (general) - Design",,"36.091768000000002","-100.95169","AIR TRACTOR INC","AT-402","AIR",,,"false","1","TP",,"AAPL","137","Destroyed","VMC","Wood Flying, Inc.","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194437","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194437/pdf"
"WPR24LA165","ACC","194376","2024-05-26T10:00:00Z","Rome","Oregon","United States",,"N9853","1291","false","Aviation","DirectorBrief","2024-11-22T05:00:00Z","2024-11-22T19:00:00Z",,,,,,,"The pilot’s failure to maintain directional control during landing.","Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Soft surface - Effect on operation, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"42.841059000000001","-117.63285","GRUMMAN ACFT ENG COR-SCHWEIZER","G-164A","AIR",,,"false","1","TP",,,"137","Substantial","VMC","OREGON TRAIL AIR SERVICE LLC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194376","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194376/pdf"
"CEN24LA197","ACC","194327","2024-05-25T13:00:00Z","Butler","Missouri","United States",,"N29173","U206-1140","false","Aviation","DirectorBrief","2024-10-22T04:00:00Z","2024-10-22T17:00:00Z","Serious","0","1","0","1","0","The jumper’s unintentional deployment of his emergency parachute and subsequent impact with the airplane’s horizontal stabilizer.","Aircraft - Aircraft structures - Empennage structure - Horizontal stabilizer - Damaged/degraded, Environmental issues - Physical environment - Object/animal/substance - Person - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Person - Contributed to outcome",,"38.288693000000002","-94.338498000000001","CESSNA","U206","AIR","BUM","BUTLER MEML","false","1","TP",,"SKYD","091","Destroyed","VMC",,"Uncontrolled Descent","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194327","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194327/pdf"
"WPR24LA192","ACC","194456","2024-05-19T11:20:00Z","Twin Bridges","Montana","United States",,"N992BB","012","false","Aviation","DirectorBrief","2025-02-11T05:00:00Z","2025-02-11T18:00:00Z","None","0","0","0","0","0","The binding of the parking brake cable, which resulted in un-commanded brake application during the landing roll and subsequent nose over.","Aircraft - Aircraft systems - Landing gear system - Landing gear brakes system - Malfunction, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Braking capability - Malfunction",,"45.534722000000002","-112.29888","SIAI MARCHETTI","SM. 1019","AIR","RVF","Ruby Valley Field Airport","false","1","TP",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194456","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194456/pdf"
"ERA24LA220","ACC","194280","2024-05-18T14:30:00Z","New Washington","Ohio","United States",,"N4196K","602-1136","false","Aviation","DirectorBrief","2024-06-28T04:00:00Z","2024-06-28T17:00:00Z","Minor","0","0","1","1",,"The pilot’s failure to maintain clearance from powerlines during an aerial application flight.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Wire - Decision related to condition",,"40.941560000000003","-82.863439999999997","AIR TRACTOR INC","AT-602","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194280","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194280/pdf"
"CEN24LA175","ACC","194206","2024-05-01T08:30:00Z","England","Arkansas","United States",,"N8515G","802A-0180","false","Aviation","DirectorBrief","2024-06-13T04:00:00Z","2024-06-13T17:00:00Z","Serious","0","1","0","1",,"The pilot’s failure to maintain clearance from tower guy wires while maneuvering during a low-level aerial application flight.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Tower/antenna (incl guy wires) - Ability to respond/compensate",,"34.603597000000001","-91.881838000000002","AIR TRACTOR INC","AT-802A","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194206","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194206/pdf"
"CEN24LA165","ACC","194150","2024-04-24T18:52:00Z","Olney","Texas","United States",,"N6108L","502B-0289","false","Aviation","DirectorBrief","2024-06-13T04:00:00Z","2024-06-13T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control of the airplane during landing in gusty wind conditions.","Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Contributed to outcome, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained",,"33.357638000000001","-98.816839999999999","AIR TRACTOR INC","AT-502B","AIR","ONY","OLNEY MUNI","false","1","TP",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194150","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194150/pdf"
"CEN24LA153","ACC","194068","2024-04-09T07:13:00Z","Oklahoma City","Oklahoma","United States",,"N243MH","FL243","false","Aviation","DirectorBrief","2024-06-28T04:00:00Z","2024-06-28T17:00:00Z","None","0","0","0","0",,"An in-flight collision with a bird during the initial climb.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",,"35.544221","-97.645550999999998","BEECH","B300","AIR","PWA","Wiley Post Airport","false","2","TP",,"EXEC","091","Substantial","VMC","ALLEN CONTRACTING INC","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194068","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194068/pdf"
"ERA24LA168","ACC","194044","2024-04-07T10:25:00Z","Ellington","Connecticut","United States",,"N90JF","20800005","false","Aviation","DirectorBrief","2024-06-21T04:00:00Z","2024-06-21T17:00:00Z","None","0","0","0","0",,"The pilot’s failure to maintain a proper glidepath to the runway, which resulted in a runway undershoot and collision with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained",,"41.925417000000003","-72.457110999999998","CESSNA","208","AIR","7B9","Ellington Airport","false","1","TP",,"SKYD","091","Substantial","VMC","Connecticut Parchutists","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194044","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194044/pdf"
"ERA24LA131","ACC","193896","2024-03-03T19:50:00Z","Smyrna","Tennessee","United States",,"N563TR","AT563","false","Aviation","DirectorBrief","2024-05-03T04:00:00Z","2024-05-03T17:00:00Z","None","0","0","0","0",,"The airplane encountered a sink hole while taxiing.","Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - (general) - Effect on operation",,"36","-86","FAIRCHILD","SA227-AT","AIR","MQY","SMYRNA","false","2","TP","NSCH","OWRK","135","Substantial","VMC","KOLOB CANYONS AIR SERVICES INC","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193896","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193896/pdf"
"WPR24LA100","ACC","193878","2024-02-28T16:50:00Z","Albuquerque","New Mexico","United States",,"N26DR","4697358","false","Aviation","DirectorBrief","2024-10-22T04:00:00Z","2024-10-22T17:00:00Z","None","0","0","0","0",,"The pilot’s loss of control during landing due to a flat tire. Contributing to the accident was the pilot’s failure to replace the worn tire in a timely manner.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Aircraft - Aircraft systems - Landing gear system - Tire casing - Not serviced/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Attain/maintain not possible",,"35.039068","-106.60977","PIPER","PA46-500TP","AIR","ABQ","ALBUQUERQUE INTL SUNPORT","false","1","TP",,"INST","091","Substantial","VMC","PEPPER EQUIPMENT CORP","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193878","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193878/pdf"
"ERA24LA093","ACC","193689","2024-01-19T18:13:00Z","Lakeport","Florida","United States",,"N5799","100-0277","false","Aviation","DirectorBrief","2024-04-30T04:00:00Z","2024-04-30T17:00:00Z","Serious","0","1","0","1",,"The improper recovery from a bounced landing, which resulted in a hard landing and subsequent noseover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"27","-81","QUEST AIRCRAFT CO INC","KODIAK 100","AIR",,"PVT","false","1","TP",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193689","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193689/pdf"
"CEN24LA058","ACC","193503","2023-12-10T17:11:00Z","Ann Arbor","Michigan","United States",,"N90ZZ","4697223","false","Aviation","DirectorBrief","2024-02-08T05:00:00Z","2024-02-08T18:00:00Z","None","0","0","0","0","0","The airplane’s encounter with unexpected wind shear during final approach, which resulted in a hard landing short of the runway.","Environmental issues - Conditions/weather/phenomena - Wind - Windshear - Effect on operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Attain/maintain not possible",,"42.226176000000002","-83.738966000000005","PIPER","PA46-500TP","AIR","ARB","ANN ARBOR MUNI","false","1","TP",,"PERS","091","Substantial","VMC","CAHOOTS AIR LLC","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193503","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193503/pdf"
"ANC24LA007","ACC","193493","2023-12-06T15:15:00Z","New Stuyahok","Alaska","United States",,"N98RA","BB439","false","Aviation","DirectorBrief","2024-08-30T04:00:00Z","2024-08-30T17:00:00Z","None","0","0","0","0",,"The pilot’s loss of directional control during landing flare resulting in substantial damage to the left wing.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"59.452500000000001","-157.3775","BEECH","200","AIR","PANW","New Stuyahok","false","2","TP","NSCH","UNK","135","Substantial","IMC","DENAINA AIR TAXI LLC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193493","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193493/pdf"
"CEN24LA037","ACC","193375","2023-11-11T13:41:00Z","McKinney","Texas","United States",,"N751HP","LIV404","false","Aviation","DirectorBrief","2024-05-14T04:00:00Z","2024-05-09T17:00:00Z","Minor","0","0","1","0","1","The pilot’s failure to attain the proper touchdown point during landing, which resulted in a runway excursion and collision with terrain and a vehicle.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained",,"33.203561999999998","-96.742227","Charles L. Hayes","Lancair IVP Turbine","AIR","T31","Aero Country","true","1","TP",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193375","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193375/pdf"
"CEN24LA029","ACC","193328","2023-10-28T10:30:00Z","Abbeville","Louisiana","United States",,"N910MG","835B","false","Aviation","DirectorBrief","2024-04-19T04:00:00Z","2024-04-19T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain clearance from a power line during an aerial application flight.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained",,"30.020965","-92.132386999999994","Ag-Cat Corporation","G-164B","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC","Vincent Flying Service, Inc.","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193328","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193328/pdf"
"WPR24LA025","ACC","193324","2023-10-26T15:02:00Z","Reno","Nevada","United States",,"N840KB","11640","false","Aviation","DirectorBrief","2023-12-21T05:00:00Z",,"Serious","0","1","1","2",,"The pilot applicant’s excessive nose down pitch, and the check pilot’s delayed remedial action, which resulted in an impact with terrain.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot",,"39.670000000000002","-119.88","GULFSTREAM AEROSPACE","Commander 690C","AIR","RTS","Reno/Stead","false","2","TP",,"OWRK","091","Substantial","VMC",,"Approach","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193324/pdf"
"CEN24LA020","ACC","193291","2023-10-23T16:11:00Z","Pierre","South Dakota","United States",,"N92884","4636107","false","Aviation","DirectorBrief","2024-11-07T05:00:00Z","2024-11-07T19:00:00Z","Fatal","1","1","0","2",,"The total loss of engine power due to fuel starvation as a result of the pilot’s improper configuration of the automatic fuel transfer system. Contributing to the accident was the pilot’s failure to adequately monitor the header tank’s fuel quantity.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Aircraft systems - Fuel system - Fuel transfer valve - Incorrect use/operation, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot",,"44.398414000000002","-100.37172","PIPER","PA 46-350P","AIR","KPIR",,"false","1","TP",,"PERS","091","Substantial","VMC",,"Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193291","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193291/pdf"
