"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN11LA097","ACC","77953","2010-12-04T15:30:00Z","Gulf of Mexico",,"United States",,"N350MM","4622105","false","Aviation","DirectorBrief","2011-10-03T04:00:00Z","2011-07-01T12:24:00Z","None","0","0","0","0","0","A total loss of engine power for undetermined reasons.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - (general) - Failure, Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"27.633887999999999","-89.133887999999999","PIPER","PA 46-350P","AIR",,,"false","1","TP",,"PERS","091","Substantial","VMC","SIDE STICK LLC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77953","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77953/pdf"
"CEN11CA098","ACC","77954","2010-12-02T10:30:00Z","Gregory","Arkansas","United States",,"N9145H","602-0630","false","Aviation","DirectorBrief","2011-10-06T04:00:00Z","2011-01-10T18:43:00Z","None","0","0","0","0","0","The pilot’s inadequate preflight inspection and failure to detect water contaminated fuel, which resulted in a loss of engine power during takeoff.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Inadequate inspection, Aircraft - Fluids/misc hardware - Fluids - Fuel - Not specified, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot",,"35.152220999999997","-91.259162000000003","AIR TRACTOR INC","AT-602","AIR","NA","Private","false","1","TP",,"AAPL","137","Substantial","VMC","REYNOLDS FLYING SERVICE INC","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77954","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77954/pdf"
"WPR11LA042","ACC","77755","2010-11-08T15:07:00Z","Los Angeles","California","United States",,"N422QX","4150","false","Aviation","DirectorBrief","2012-04-20T04:00:00Z","2012-03-01T18:08:00Z","None","0","0","0","0","0","An in-flight collision with a bird.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",,"34.236389000000003","-118.339721","BOMBARDIER INC","DHC-8-402","AIR","LAX","Los Angeles International","false","2","TP","SCHD",,"121","Substantial","VMC","HORIZON AIR INDUSTRIES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77755","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77755/pdf"
"ERA11WA068","ACC","77853","2010-11-06T19:25:00Z","Huanuco",,"Peru",,"N115GS","AC715","false","Aviation","","2020-11-03T05:00:00Z","2010-12-03T15:08:00Z","None","0","0","0","0","0",,,,"-9.8766669999999994","-76.203329999999994","FAIRCHILD","SA227-AC","AIR","SPNC","Fernandini","false","2","TP","SCHD",,"NUSC","Substantial",,"LC Busre S.A.C.",,"N/A",,"Final","https://data.ntsb.gov/Docket?ProjectID=77853","None"
"CEN11LA043","ACC","77691","2010-10-29T16:11:00Z","Port Mansfield","Texas","United States",,"N234PM","4697200","false","Aviation","DirectorBrief","2013-04-25T04:00:00Z","2013-03-07T16:00:00Z","None","0","0","0","0","0","The total loss of engine power for undetermined reasons because  examination of the airframe and engine did not reveal any anomalies that would have contributed to the loss of engine power.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - (general) - Failure",,"32.829867999999998","-97.169241999999997","PIPER","PA46-500TP","AIR","T05","Charles Johnson Airport","false","1","TP",,"PERS","091","Substantial","VMC","Sitton Enterprises LLC","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77691","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77691/pdf"
"WPR11CA023","ACC","77651","2010-10-21T16:47:00Z","Fort Hunter Liggett","California","United States",,"N4247U","802-4001","false","Aviation","DirectorBrief","2011-03-16T04:00:00Z","2010-11-22T12:29:00Z","None","0","0","0","0","0","The pilot's misjudged glide path, which resulted in a runway undershoot and collision with terrain during landing.","Environmental issues - Physical environment - Object/animal/substance - Debris/dirt/foreign object - Contributed to outcome, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Glide - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"35.971389000000002","-121.205276","AIR TRACTOR INC","AT-802","AIR","PVT","Schoonover Strip (Private)","false","1","TP",,"FLTS","091","Substantial","VMC","AIR TRACTOR INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77651","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77651/pdf"
"CEN11IA106","INC","77994","2010-10-21T14:00:00Z","Olathe","Kansas","United States",,"N767TP","4697036","false","Aviation","DirectorBrief","2012-01-17T05:00:00Z","2011-12-08T20:14:00Z","None","0","0","0","0","0","The loss of engine power for undetermined reasons.","Not determined - Not determined - (general) - (general) - Unknown/Not determined, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - (general) - Not specified",,"38.846668000000001","-94.736662999999993","PIPER","PA-46-500TP","AIR","OJC","Johnson County Exec Airport","false","1","TP",,"FLTS","091","None","VMC","Kansas City Aviation Services","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77994","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77994/pdf"
"ERA11IA026","INC","77608","2010-10-18T12:56:00Z","Fort Lauderdale","Florida","United States",,"N80GB","SH1888","false","Aviation","DirectorBrief","2011-08-03T04:00:00Z","2011-06-13T18:20:00Z","None","0","0","0","0","0","The flightcrew’s failure to maintain directional control while initiating an engine reverse after landing.","Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"26.072500000000002","-80.152495999999999","SHORT BROS. & HARLAND","SHORTS SC7 SKYVAN","AIR","FLL","Ft. Lauderdale International","false","2","TP",,"INST","091","Minor","VMC","GB AIRLINK INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77608","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77608/pdf"
"CEN11TA027","ACC","77626","2010-10-18T12:53:00Z","Palestine","Texas","United States",,"N1TR","B-238","false","Aviation","DirectorBrief","2012-11-26T05:00:00Z","2012-10-03T16:55:00Z","None","0","0","0","0","0","An in-flight collision with a flock of birds while the airplane was descending through a cloud layer.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on operation, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low visibility - Contributed to outcome",,"31.850000000000001","-96.016670000000005","BEECH","A100","AIR","PSN","Palestine Municipal Airport","false","2","TP",,"PUBU","PUBU","Substantial","VMC","TRINITY RIVER AUTHORITY OF TEXAS","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77626","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77626/pdf"
"ANC11LA004","ACC","77624","2010-10-18T07:00:00Z","Sitka","Alaska","United States",,"N111AX","UC-81","false","Aviation","DirectorBrief","2011-07-12T04:00:00Z","2011-05-13T17:46:00Z","None","0","0","0","0","0","A lightning strike which resulted in substantial damage to the elevator.","Environmental issues - Conditions/weather/phenomena - Convective weather - Lightning - Effect on equipment, Aircraft - Aircraft structures - Empennage structure - Elevators - Damaged/degraded",,"57.046942999999999","-135.361389","BEECH","1900C","AIR","PASI","Sitka","false","2","TP","NSCH",,"135","Substantial","VMC","ALASKA CENTRAL EXPRESS INC","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=77624","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/77624/pdf"
